phase,epoch,batch_idx,batch_size,loss,mean_iou,time
train,1,0.0,8.0,0.7597445249557495,0.17929038405418396,20.15471386909485
train,1,1.0,8.0,0.6674684286117554,0.32439661026000977,37.656163930892944
train,1,2.0,8.0,0.6283065676689148,0.3483448028564453,54.99941682815552
train,1,3.0,8.0,0.7195231914520264,0.11157727241516113,75.61120700836182
train,1,4.0,8.0,0.6930744647979736,0.25784018635749817,93.58451294898987
train,1,5.0,8.0,0.6866248250007629,0.48326945304870605,111.64998006820679
train,1,6.0,8.0,0.6433860063552856,0.4219420552253723,129.32663106918335
train,1,7.0,8.0,0.7068336009979248,0.2142057865858078,146.9861400127411
train,1,8.0,8.0,0.5944641828536987,0.673128604888916,164.59649181365967
train,1,9.0,8.0,0.5907084345817566,0.45542240142822266,182.6985821723938
train,1,10.0,8.0,0.6379507780075073,0.41200733184814453,202.6021111011505
train,1,11.0,8.0,0.519834041595459,0.6079268455505371,221.2015459537506
train,1,12.0,8.0,0.5274914503097534,0.5748485922813416,239.9916958808899
train,1,13.0,8.0,0.597998321056366,0.31832021474838257,258.7031629085541
train,1,14.0,8.0,0.49678030610084534,0.5905516147613525,277.75638794898987
train,1,15.0,8.0,0.7509610652923584,0.042244426906108856,296.1119010448456
train,1,16.0,8.0,0.5222243070602417,0.5469934344291687,313.3708369731903
train,1,17.0,8.0,0.46800392866134644,0.658768355846405,331.129273891449
train,1,18.0,8.0,0.5786417126655579,0.4573015868663788,349.6733400821686
train,1,19.0,8.0,0.6072699427604675,0.5223745107650757,367.4595580101013
train,1,20.0,8.0,0.532177209854126,0.4777737557888031,384.94749188423157
train,1,21.0,8.0,0.439042329788208,0.5499226450920105,402.0130240917206
train,1,22.0,8.0,0.5145461559295654,0.23351646959781647,420.09551906585693
train,1,23.0,8.0,0.6186950206756592,0.2998045086860657,437.80103397369385
train,1,24.0,8.0,0.419575572013855,0.4284913241863251,455.70171189308167
train,1,25.0,8.0,0.5749785900115967,0.44111737608909607,473.2692608833313
train,1,26.0,8.0,0.6113747358322144,0.47590309381484985,491.0831229686737
train,1,27.0,8.0,0.7154331207275391,0.03249563276767731,510.91731786727905
train,1,28.0,8.0,0.5850732326507568,0.3614642322063446,529.4007267951965
train,1,29.0,8.0,0.3952573537826538,0.5762630105018616,546.9354708194733
train,1,30.0,8.0,0.5861536860466003,0.47396308183670044,566.1078040599823
train,1,31.0,8.0,0.5919031500816345,0.23928621411323547,584.5404698848724
train,1,32.0,8.0,0.48175644874572754,0.4900273084640503,602.1241590976715
train,1,33.0,8.0,0.5394324660301208,0.6089985370635986,620.2391119003296
train,1,34.0,8.0,0.39340129494667053,0.6139033436775208,638.3565111160278
train,1,35.0,8.0,0.45623937249183655,0.40467846393585205,655.9871139526367
train,1,36.0,8.0,0.4373767077922821,0.6342257857322693,673.3990380764008
train,1,37.0,8.0,0.5646910667419434,0.7429588437080383,690.8723978996277
train,1,38.0,8.0,0.51677006483078,0.3838295340538025,708.5829930305481
train,1,39.0,8.0,0.549119234085083,0.6967211365699768,725.4756219387054
train,1,40.0,8.0,0.6201126575469971,0.3769460618495941,742.6368877887726
train,1,41.0,8.0,0.47646787762641907,0.5446158647537231,760.257141828537
train,1,42.0,8.0,0.5817540884017944,0.3649657964706421,777.5652570724487
train,1,43.0,8.0,0.5666003823280334,0.36255165934562683,794.8019638061523
train,1,44.0,8.0,0.46690577268600464,0.4929739236831665,812.4405498504639
train,1,45.0,8.0,0.4563811123371124,0.6098983883857727,830.691202878952
train,1,46.0,8.0,0.3755343556404114,0.4668561518192291,848.5135750770569
train,1,47.0,8.0,0.5444052219390869,0.36725032329559326,865.9636361598969
train,1,48.0,8.0,0.4046092629432678,0.4862145185470581,883.5775740146637
train,1,49.0,8.0,0.4608500599861145,0.6862391233444214,901.8470480442047
train,1,50.0,8.0,0.6292424201965332,0.09160721302032471,919.5647809505463
train,1,51.0,8.0,0.49613338708877563,0.48892679810523987,936.5478949546814
train,1,52.0,8.0,0.41980594396591187,0.5325849652290344,954.057046175003
train,1,53.0,8.0,0.49406927824020386,0.4634230136871338,971.6234669685364
train,1,54.0,8.0,0.36352238059043884,0.45979154109954834,988.9767708778381
train,1,55.0,8.0,0.36456990242004395,0.5510245561599731,1007.0853378772736
train,1,56.0,8.0,0.5871909260749817,0.2934068441390991,1026.5948481559753
train,1,57.0,8.0,0.8231923580169678,0.1415610909461975,1043.9052140712738
train,1,58.0,8.0,0.42293375730514526,0.4849551022052765,1062.013177871704
train,1,59.0,8.0,0.5615551471710205,0.11039776355028152,1079.0306918621063
train,1,60.0,8.0,0.46935558319091797,0.5181752443313599,1096.5405700206757
train,1,61.0,8.0,0.4352816343307495,0.8206996917724609,1115.490818977356
train,1,62.0,8.0,0.4565092921257019,0.562908411026001,1133.0337979793549
train,1,63.0,8.0,0.4718015789985657,0.48023003339767456,1150.1493430137634
train,1,64.0,8.0,0.3988110423088074,0.4825874865055084,1167.614695072174
